id,NRIC,Type,Subtype,Therapist,Date Diagnosed
109,S9458097Q,Mental,Schizophrenia,S2526745K,22-01-1999
110,S7475491V,Chronic,Blood Cholesterol,S5119711C,11-12-1984
111,S1027699D,Chronic,Stroke,S2526745K,30-06-1994
112,S4104840M,Chronic,Blood Cholesterol,S4004274M,20-11-1980
113,S7074688V,Common,Allergy,S3623914K,06-03-2006
114,S5769421X,Common,Cold,S3623914K,23-09-1982
115,S8416430J,Mental,Obsessive-Compulsive Disorder,S4004274M,21-11-1993
116,S2018627K,Common,Cold,S1483342G,25-01-1995
117,S3598756T,Common,Cold,S1483342G,09-02-1987
118,S1769429E,Chronic,Diabetes,S5119711C,01-10-1995
119,S4157752Y,Mental,Schizophrenia,S4004274M,05-11-1995
120,S7971670R,Common,Allergy,S5633830K,14-05-1987
121,S4351955T,Common,Headaches & Migraines,S6505514W,09-05-1993
122,S3627112D,Mental,Eating Disorders,S4004274M,12-10-2011
123,S4949643A,Physical,Backpain,S1483342G,10-05-2008
124,S9459775O,Mental,Eating Disorders,S6505514W,19-05-1994
125,S1413734Q,Physical,Bronchitis,S5633830K,18-07-1995
126,S5063914P,Common,Headaches & Migraines,S7854499W,10-09-1999
127,S7484587B,Physical,Urinary,S6336826K,28-03-1988
128,S3883837A,Mental,Eating Disorders,S5633830K,13-08-2009
129,S2534486B,Common,Allergy,S5119711C,03-11-1989
130,S4730137I,Mental,Eating Disorders,S5119711C,18-03-2012
131,S8562926F,Common,Cold,S2526745K,15-10-1987
132,S2273322P,Common,Cold,S2526745K,22-07-2004
133,S5346938A,Physical,Chickenpox,S2526745K,13-09-2008
134,S8944124W,Mental,Eating Disorders,S5633830K,09-01-1991
135,S7516837T,Chronic,Heart Disease,S3623914K,23-08-1984
136,S4569307S,Common,Headaches & Migraines,S1361500H,19-09-1994
137,S1852447D,Physical,Urinary,S6336826K,21-12-2011
138,S7624747K,Chronic,Heart Disease,S3623914K,02-08-1986
139,S9628658F,Mental,Obsessive-Compulsive Disorder,S3623914K,25-03-2004
140,S8395005M,Physical,Backpain,S6505514W,27-08-2012
141,S7972496R,Common,Allergy,S4004274M,31-05-1990
142,S2321201A,Physical,Gingivitis,S5633830K,16-05-1991
143,S6319783Z,Chronic,Asthma,S5633830K,10-05-1987
144,S9502710I,Mental,Depression,S2526745K,09-08-2005
145,S1580029F,Mental,Schizophrenia,S4004274M,22-05-2017
146,S7562096Z,Mental,Panic Attack,S7854499W,17-10-2007
147,S7759307X,Chronic,Hypertension,S6505514W,25-01-2014
148,S8923095F,Physical,Gout,S6505514W,25-04-1995
149,S2356252O,Physical,Haemorrhoids,S5119711C,30-05-1999
150,S1941236E,Common,Cold,S3623914K,01-07-1995
151,S1395070L,Chronic,Heart Disease,S5633830K,06-07-1981
152,S5281795N,Common,Allergy,S5633830K,28-03-2006
153,S1313437L,Physical,Caries,S6505514W,04-02-2002
154,S3868334Y,Common,Cold,S6336826K,03-12-1989
155,S4130238T,Mental,Eating Disorders,S2526745K,28-10-1985
156,S8441634F,Common,Cold,S4004274M,04-09-2010
157,S3143969X,Common,Cold,S6505514W,02-08-1999
158,S6902089R,Chronic,Blood Cholesterol,S5633830K,17-07-2012
159,S7278276X,Common,Cold,S7854499W,10-06-2003
160,S1368403S,Common,Cold,S3623914K,27-06-1999
161,S4812672V,Common,Cold,S2526745K,10-04-1988
162,S8242428Q,Mental,Depression,S5633830K,27-06-1985
163,S7278276X,Mental,Obsessive-Compulsive Disorder,S5119711C,17-07-1995
164,S7118797W,Common,Cold,S7854499W,06-09-2012
165,S2265328E,Mental,Panic Attack,S4004274M,09-12-1997
166,S2839757V,Mental,Depression,S5633830K,18-07-2016
167,S2405741U,Common,Cold,S6505514W,03-09-2004
168,S8627355I,Mental,Eating Disorders,S3623914K,27-12-2001
169,S1700230H,Chronic,Stroke,S4004274M,30-06-2013
170,S7624747K,Physical,Urinary,S1483342G,28-09-1998
171,S1137388U,Physical,Gingivitis,S1361500H,07-06-2011
172,S1155701T,Mental,Panic Attack,S5119711C,17-09-1995
173,S8528067K,Physical,Chickenpox,S5633830K,06-04-1997
174,S4295864P,Mental,Obsessive-Compulsive Disorder,S4004274M,28-09-2004
175,S7484962L,Physical,Caries,S7854499W,04-08-2003
176,S3023538V,Common,Cold,S7854499W,29-02-1992
177,S8424321Z,Common,Headaches & Migraines,S1483342G,23-10-2017
178,S9281472A,Mental,Eating Disorders,S1483342G,28-08-1983
179,S3536986X,Physical,Haemorrhoids,S3623914K,15-12-2007
180,S1819124N,Common,Headaches & Migraines,S2526745K,08-03-1983
181,S8882982F,Physical,Chickenpox,S4004274M,02-03-2002
182,S6640132A,Mental,Panic Attack,S3623914K,21-06-1999
183,S8049304U,Common,Headaches & Migraines,S3623914K,15-10-2016
184,S3005533X,Common,Headaches & Migraines,S6505514W,02-06-1987
185,S4903829U,Chronic,Asthma,S3623914K,15-08-1984
186,S6631686D,Chronic,Asthma,S5633830K,10-02-2014
187,S1867030F,Common,Cold,S1483342G,03-03-2006
188,S3700667F,Mental,Schizophrenia,S4004274M,09-04-2006
189,S3218447F,Chronic,Cancer,S1483342G,30-11-2005
190,S9200039Z,Common,Headaches & Migraines,S3623914K,01-05-2009
191,S9874695B,Chronic,Heart Disease,S5119711C,02-05-2015
192,S2506551R,Physical,Gingivitis,S2526745K,20-06-1980
193,S1865195J,Chronic,Hypertension,S5633830K,31-01-2007
194,S1626505U,Chronic,Blood Cholesterol,S4004274M,24-08-1993
195,S3005533X,Chronic,Cancer,S6336826K,15-07-1982
196,S1781730G,Chronic,Hypertension,S6336826K,09-02-2005
197,S1692591D,Common,Headaches & Migraines,S3623914K,03-06-1991
198,S4491696I,Common,Cold,S7854499W,02-01-2012
199,S6417027N,Mental,Panic Attack,S6505514W,05-06-1984
200,S5608895N,Chronic,Stroke,S1483342G,04-02-2016
201,S5608895N,Chronic,Asthma,S1361500H,29-11-1981
202,S6535648R,Mental,Panic Attack,S3623914K,15-08-1982
203,S9038196W,Common,Allergy,S2526745K,27-07-1982
204,S6093408T,Physical,Gingivitis,S6336826K,14-08-2004
205,S2789615A,Common,Cold,S5119711C,11-09-2012
206,S1760554X,Chronic,Blood Cholesterol,S1483342G,22-11-1987
207,S4400519D,Chronic,Heart Disease,S5119711C,03-04-2003
208,S6019912T,Mental,Eating Disorders,S7854499W,04-10-1980
209,S3218447F,Physical,Caries,S2526745K,01-09-1980
210,S2191316U,Common,Cold,S2526745K,06-04-1981
211,S3101050K,Common,Headaches & Migraines,S2526745K,16-04-2009
212,S6993281N,Chronic,Heart Disease,S5119711C,07-05-1984
213,S2814860T,Mental,Depression,S3623914K,16-08-1994
214,S4116801G,Physical,Backpain,S5119711C,03-06-2006
215,S6318938W,Common,Cold,S5119711C,02-05-2010
216,S1404973J,Chronic,Hypertension,S4004274M,12-04-2012
217,S4116179E,Physical,Bronchitis,S5633830K,01-09-1982
218,S2524309O,Physical,Haemorrhoids,S6505514W,09-09-1988
219,S2492414H,Physical,Caries,S3623914K,29-12-1996
220,S3143969X,Chronic,Stroke,S3623914K,30-06-1994
221,S3819981F,Common,Cold,S5119711C,23-04-1985
222,S6099446D,Common,Cold,S5119711C,30-04-2009
223,S4297701F,Chronic,Hypertension,S1483342G,02-12-1985
224,S8847944E,Physical,Gout,S7854499W,15-08-2012
225,S2003956C,Physical,Chickenpox,S5119711C,08-04-2010
226,S7118797W,Common,Headaches & Migraines,S1361500H,21-07-1998
227,S4130238T,Chronic,Heart Disease,S1483342G,14-11-1998
228,S5144111L,Physical,Backpain,S5119711C,06-08-2008
229,S9819005U,Mental,Panic Attack,S6505514W,25-02-1998
230,S3564022P,Physical,Chickenpox,S1483342G,01-08-2018
231,S5307762K,Physical,Caries,S7854499W,22-07-1980
232,S2189890C,Common,Headaches & Migraines,S1483342G,12-06-1981
233,S7524741N,Mental,Obsessive-Compulsive Disorder,S4004274M,15-01-2005
234,S8146454Q,Physical,Gout,S1361500H,09-12-2009
235,S1867030F,Physical,Haemorrhoids,S5119711C,06-08-2014
236,S9778032F,Mental,Depression,S1361500H,28-03-2011
237,S7821476S,Mental,Schizophrenia,S7854499W,24-05-1988
238,S2452407R,Chronic,Hypertension,S3623914K,09-01-2014
239,S6610110O,Physical,Bronchitis,S2526745K,09-05-1981
240,S7032633S,Common,Cold,S5633830K,20-01-1990
241,S6631686D,Physical,Bronchitis,S6505514W,05-03-1998
242,S5704150D,Chronic,Stroke,S4004274M,13-09-1992
243,S5428212L,Common,Cold,S7854499W,03-08-1990
244,S4424024Y,Common,Headaches & Migraines,S1361500H,21-02-1989
245,S9076155B,Physical,Haemorrhoids,S2526745K,02-07-2011
246,S1941236E,Mental,Panic Attack,S5633830K,18-11-2003
247,S3907154N,Common,Headaches & Migraines,S3623914K,05-08-2012
248,S8395005M,Physical,Haemorrhoids,S5633830K,08-01-1991
249,S4122473A,Chronic,Diabetes,S2526745K,17-06-2007
250,S5770438E,Mental,Obsessive-Compulsive Disorder,S1361500H,22-04-2010
251,S9038196W,Common,Cold,S4004274M,06-02-1996
252,S9697298B,Common,Headaches & Migraines,S2526745K,29-09-2002
253,S3469880K,Chronic,Blood Cholesterol,S5633830K,07-09-2010
254,S7357144K,Mental,Depression,S6336826K,13-02-1982
255,S4996796E,Mental,Obsessive-Compulsive Disorder,S5633830K,15-11-1983
256,S2002730C,Common,Cold,S1361500H,07-09-2005
257,S7032633S,Common,Allergy,S7854499W,03-12-1991
258,S4980626L,Common,Headaches & Migraines,S1483342G,30-04-2014
259,S6640132A,Common,Cold,S5633830K,27-01-2017
260,S8051572K,Chronic,Hypertension,S3623914K,02-10-1996
261,S5346938A,Mental,Schizophrenia,S5633830K,17-02-1992
262,S7227770H,Common,Headaches & Migraines,S4004274M,27-07-2016
263,S1002874L,Chronic,Blood Cholesterol,S1483342G,17-09-1981
264,S2329053B,Common,Cold,S2526745K,05-05-2002
265,S4483508N,Physical,Urinary,S1483342G,15-08-1988
266,S4789143S,Mental,Panic Attack,S4004274M,08-06-2013
267,S7032633S,Physical,Caries,S2526745K,22-02-2015
268,S4130238T,Physical,Backpain,S2526745K,22-12-1988
269,S2223096T,Common,Headaches & Migraines,S1483342G,24-02-2007
270,S7739540U,Common,Allergy,S5119711C,06-09-2002
271,S4898497V,Mental,Panic Attack,S6505514W,14-08-2010
272,S9376523G,Chronic,Hypertension,S1361500H,09-05-2002
273,S4116801G,Common,Cold,S7854499W,20-06-2018
274,S1556694G,Common,Headaches & Migraines,S2526745K,04-07-1997
275,S4881532P,Common,Allergy,S1361500H,10-09-1997
276,S3218447F,Chronic,Heart Disease,S7854499W,01-02-1981
277,S1882817X,Common,Allergy,S5633830K,26-07-2018
278,S8106137Q,Chronic,Cancer,S2526745K,23-06-1980
279,S8716588D,Physical,Cataracts,S5119711C,18-04-2017
280,S1298808W,Mental,Schizophrenia,S1361500H,28-07-2014
281,S8098361L,Mental,Depression,S1483342G,28-07-2000
282,S5528988Q,Chronic,Blood Cholesterol,S3623914K,10-01-1998
283,S3016017R,Physical,Cataracts,S2526745K,10-11-2011
284,S7599653J,Chronic,Cancer,S3623914K,17-11-1988
285,S2018627K,Physical,Haemorrhoids,S5633830K,23-02-2017
286,S9039260E,Common,Cold,S6505514W,08-09-2014
287,S4491696I,Physical,Haemorrhoids,S1361500H,01-01-2012
288,S5608895N,Mental,Obsessive-Compulsive Disorder,S2526745K,01-06-1984
289,S3171644V,Common,Cold,S6505514W,23-11-2014
290,S6757774E,Physical,Haemorrhoids,S2526745K,29-03-1996
291,S6606778S,Mental,Eating Disorders,S6336826K,26-03-1992
292,S1066747F,Common,Cold,S4004274M,14-06-2007
293,S9819005U,Chronic,Heart Disease,S5119711C,29-08-2002
294,S6938957G,Physical,Gingivitis,S4004274M,24-08-2004
295,S9820079Z,Common,Cold,S5633830K,29-06-1996
296,S7300264H,Mental,Obsessive-Compulsive Disorder,S1483342G,14-03-1982
297,S6487241Z,Mental,Panic Attack,S4004274M,21-08-2015
298,S2952296N,Mental,Schizophrenia,S1361500H,27-04-2000
299,S8193768E,Common,Cold,S2526745K,09-05-2010
300,S2839757V,Chronic,Stroke,S6336826K,13-01-2001
301,S2438806Y,Common,Headaches & Migraines,S7854499W,26-11-1985
302,S6630182H,Common,Headaches & Migraines,S2526745K,13-03-2004
303,S4075788W,Mental,Panic Attack,S6336826K,16-11-2011
304,S9888517R,Physical,Caries,S5633830K,30-10-1995
305,S8077513T,Physical,Gout,S6505514W,02-04-2001
306,S7659903O,Chronic,Heart Disease,S5633830K,11-09-2002
307,S6677034L,Physical,Gout,S6505514W,20-12-2014
308,S4569307S,Mental,Panic Attack,S5119711C,19-11-1983
309,S7058003Z,Common,Allergy,S3623914K,19-07-1985
310,S7165441K,Chronic,Stroke,S5633830K,03-12-2015
311,S1897131C,Mental,Panic Attack,S1483342G,05-04-1986
312,S7599653J,Common,Cold,S5119711C,13-11-1981
313,S8435454O,Chronic,Asthma,S3623914K,09-02-1985
314,S6623076O,Chronic,Diabetes,S2526745K,23-08-1983
315,S6941030I,Mental,Eating Disorders,S4004274M,08-04-2001
316,S2789615A,Physical,Backpain,S7854499W,24-11-2009
317,S2465331H,Common,Cold,S5633830K,27-04-1999
318,S6185465W,Chronic,Hypertension,S5633830K,30-08-2013
319,S4427301Q,Physical,Chickenpox,S1361500H,14-05-1997
320,S5830513Y,Common,Allergy,S1483342G,26-09-1987
321,S6610110O,Mental,Schizophrenia,S6336826K,04-12-1997
322,S6655947K,Physical,Caries,S1483342G,20-03-1981
323,S5962491M,Physical,Caries,S6336826K,29-03-1993
324,S7352319X,Physical,Bronchitis,S5119711C,14-03-1982
325,S3790300B,Common,Cold,S1483342G,06-12-2006
326,S2259410W,Common,Allergy,S2526745K,11-08-2013
327,S5307762K,Common,Allergy,S4004274M,15-05-1990
328,S4931446Z,Chronic,Hypertension,S3623914K,29-08-1980
329,S1660863F,Common,Allergy,S7854499W,13-01-2017
330,S1320010F,Physical,Gingivitis,S5633830K,20-08-2004
331,S1555162S,Common,Headaches & Migraines,S7854499W,07-05-1991
332,S9279750T,Common,Headaches & Migraines,S7854499W,25-11-2007
333,S2329053B,Physical,Caries,S2526745K,30-04-2002
334,S3550761H,Mental,Eating Disorders,S6505514W,29-01-1992
335,S3564022P,Physical,Cataracts,S3623914K,16-11-2009
336,S1911722I,Chronic,Cancer,S1483342G,06-09-2016
337,S4479630V,Physical,Bronchitis,S1361500H,01-06-1991
338,S8653215K,Common,Cold,S6336826K,10-09-2008
339,S6425083S,Mental,Panic Attack,S6336826K,26-02-1981
340,S5823789B,Chronic,Heart Disease,S1483342G,26-03-1980
341,S1994682P,Common,Allergy,S1483342G,19-08-1983
342,S3883837A,Physical,Haemorrhoids,S3623914K,17-03-1988
343,S3201012B,Physical,Caries,S7854499W,22-09-2014
344,S2280732U,Common,Allergy,S5119711C,07-10-2009
345,S3153347T,Mental,Depression,S5119711C,21-08-2011
346,S3522801O,Chronic,Heart Disease,S5633830K,23-11-1994
347,S6455578R,Mental,Eating Disorders,S1483342G,24-07-1986
348,S2860299X,Physical,Caries,S2526745K,15-09-2017
349,S4427301Q,Common,Cold,S3623914K,01-11-1995
350,S4530487P,Mental,Panic Attack,S5119711C,17-06-1988
351,S3920438V,Chronic,Blood Cholesterol,S3623914K,04-11-1999
352,S3118066P,Physical,Bronchitis,S4004274M,27-05-2016
353,S8754905J,Mental,Eating Disorders,S6336826K,02-10-1999
354,S4972139A,Common,Cold,S7854499W,30-10-1986
355,S4980626L,Common,Cold,S2526745K,13-12-2007
356,S7234427S,Chronic,Blood Cholesterol,S4004274M,01-08-2015
357,S2925972L,Physical,Caries,S4004274M,21-09-1990
358,S4337591T,Mental,Schizophrenia,S5119711C,27-05-2014
359,S2405741U,Common,Headaches & Migraines,S3623914K,05-05-2005
360,S4553724F,Chronic,Cancer,S5633830K,14-01-2003
361,S7524741N,Chronic,Blood Cholesterol,S6336826K,02-10-1983
362,S7830855B,Physical,Caries,S1483342G,18-12-2005
363,S7972496R,Physical,Haemorrhoids,S6336826K,14-07-1987
364,S5569299P,Mental,Schizophrenia,S5119711C,18-10-2010
365,S9662375M,Physical,Urinary,S5119711C,25-01-1985
366,S2492414H,Common,Cold,S5633830K,27-09-2004
367,S4736511T,Mental,Obsessive-Compulsive Disorder,S1361500H,14-12-1999
368,S3665292A,Chronic,Diabetes,S4004274M,09-07-1992
369,S9819005U,Chronic,Hypertension,S2526745K,16-08-1998
370,S6993281N,Chronic,Asthma,S6505514W,10-06-2017
371,S8146454Q,Physical,Urinary,S3623914K,11-05-2018
372,S8189832J,Mental,Eating Disorders,S7854499W,20-06-1980
373,S6861104M,Common,Allergy,S3623914K,06-12-2005
374,S8096783S,Chronic,Hypertension,S1361500H,26-07-1995
375,S4599923A,Common,Headaches & Migraines,S4004274M,08-11-1995
376,S4088765B,Chronic,Blood Cholesterol,S6336826K,27-05-2002
377,S5604488O,Physical,Caries,S1483342G,01-09-1997
378,S9767016V,Chronic,Stroke,S1483342G,06-08-2012
379,S9446691F,Common,Headaches & Migraines,S6505514W,18-07-1997
380,S3525306X,Chronic,Heart Disease,S1361500H,19-02-1987
381,S7559015Q,Chronic,Diabetes,S3623914K,16-05-1993
382,S6285959I,Physical,Chickenpox,S1361500H,17-11-1999
383,S1142277Y,Mental,Schizophrenia,S5633830K,22-09-2004
384,S7484962L,Physical,Chickenpox,S6505514W,23-11-2016
385,S2761085F,Chronic,Heart Disease,S7854499W,14-09-2012
386,S9841011O,Mental,Obsessive-Compulsive Disorder,S3623914K,28-07-1982
387,S2798820I,Chronic,Stroke,S5119711C,12-04-1985
388,S1047837O,Common,Headaches & Migraines,S3623914K,29-12-1980
389,S2770498A,Chronic,Diabetes,S4004274M,03-07-2000
390,S4252628Y,Mental,Obsessive-Compulsive Disorder,S4004274M,29-11-1998
391,S7599653J,Chronic,Diabetes,S2526745K,04-11-1994
392,S9425336C,Chronic,Asthma,S6505514W,09-11-2014
393,S8416430J,Mental,Obsessive-Compulsive Disorder,S6505514W,21-05-2012
394,S3005533X,Mental,Depression,S7854499W,10-12-1996
395,S7516837T,Physical,Urinary,S6505514W,28-01-1992
396,S7278276X,Physical,Bronchitis,S2526745K,05-05-2008
397,S3440164Y,Common,Headaches & Migraines,S7854499W,17-04-2015
398,S4813973D,Common,Headaches & Migraines,S3623914K,04-04-2018
399,S3005533X,Mental,Obsessive-Compulsive Disorder,S6336826K,15-12-1998
400,S6154911V,Common,Cold,S6505514W,06-08-1998
401,S4819537Z,Mental,Obsessive-Compulsive Disorder,S5119711C,16-10-1985
402,S4977862I,Chronic,Heart Disease,S4004274M,28-05-2014
403,S7456583W,Physical,Gout,S6336826K,08-02-1998
404,S9069997H,Common,Cold,S6336826K,30-12-2006
405,S2300778O,Physical,Bronchitis,S5119711C,04-09-1981
406,S9837045B,Mental,Eating Disorders,S2526745K,05-02-2006
407,S7520639A,Chronic,Hypertension,S7854499W,11-09-1992
408,S9353433F,Common,Allergy,S4004274M,11-10-1991
409,S2839757V,Common,Allergy,S7854499W,21-05-2003
410,S3525306X,Physical,Urinary,S4004274M,14-09-2010
411,S8325585W,Physical,Chickenpox,S3623914K,27-02-2000
412,S4367055E,Chronic,Heart Disease,S6336826K,21-08-2007
413,S2394435E,Mental,Panic Attack,S4004274M,02-10-2016
414,S6528238G,Chronic,Stroke,S6505514W,15-01-1986
415,S1259497D,Physical,Gout,S6336826K,26-11-2013
416,S1580029F,Common,Allergy,S4004274M,13-04-2013
417,S2885118D,Common,Headaches & Migraines,S5119711C,15-01-1982
418,S2212231X,Physical,Urinary,S2526745K,30-04-1989
419,S5704150D,Common,Headaches & Migraines,S4004274M,19-02-2002
420,S4759733S,Mental,Eating Disorders,S6505514W,22-11-1995
421,S1644707O,Chronic,Asthma,S3623914K,17-05-2006
422,S5213732E,Mental,Obsessive-Compulsive Disorder,S1483342G,21-05-1988
423,S5702021D,Mental,Depression,S1361500H,09-04-2004
424,S8115510U,Physical,Chickenpox,S1483342G,24-07-2010
425,S5231793R,Mental,Obsessive-Compulsive Disorder,S2526745K,22-04-2000
426,S4883176S,Common,Allergy,S6505514W,20-10-2000
427,S8371935B,Common,Headaches & Migraines,S1483342G,28-11-2016
428,S9485236E,Mental,Eating Disorders,S6505514W,06-11-2005
429,S4122473A,Chronic,Diabetes,S2526745K,07-02-1989
430,S8957407Y,Mental,Panic Attack,S6336826K,28-04-1991
431,S2853894X,Mental,Depression,S5633830K,15-12-1988
432,S2784495R,Chronic,Asthma,S6336826K,05-06-2005
433,S6640132A,Chronic,Stroke,S3623914K,18-01-1987
434,S8435454O,Mental,Depression,S5633830K,11-11-1984
435,S2858412M,Mental,Eating Disorders,S1361500H,24-08-1991
436,S1184649R,Common,Headaches & Migraines,S3623914K,11-04-2011
