id,NRIC,Type,Subtype,Date,Filename
561,S5415049T,Illness,Allergy,01-06-1995,
562,S6994467S,Illness,Allergy,30-04-1983,
565,S5650232O,Illness,Allergy,11-01-2007,
590,S8483323Y,Illness,Allergy,13-02-2001,
594,S7944919P,Illness,Allergy,09-05-2015,
603,S4676526W,Illness,Allergy,30-07-1995,
604,S6313245G,Illness,Allergy,19-07-2006,
633,S9038196W,Illness,Allergy,14-07-2011,
649,S7892170K,Illness,Allergy,14-03-2000,
667,S2637542J,Illness,Allergy,06-09-2000,
684,S7300264H,Illness,Allergy,10-03-1982,
696,S6471426H,Illness,Allergy,06-01-2012,
699,S6128205K,Illness,Allergy,22-03-1983,
749,S2301006U,Illness,Allergy,02-08-1984,
751,S9712800N,Illness,Allergy,06-10-1990,
778,S9143579V,Illness,Allergy,25-05-2003,
779,S3550761H,Illness,Allergy,25-09-1983,
808,S6528238G,Illness,Allergy,08-12-1995,
864,S4109495F,Illness,Allergy,05-06-2002,
875,S3617193O,Illness,Allergy,07-03-1996,
895,S7943742K,Illness,Allergy,16-11-1992,
905,S6213229Q,Illness,Allergy,14-09-2016,
912,S4645936M,Illness,Allergy,20-08-2015,
927,S2381966Y,Illness,Allergy,30-08-1988,
953,S2771947F,Illness,Allergy,18-07-2003,
958,S9705213I,Illness,Allergy,13-06-1998,
962,S9350585J,Illness,Allergy,20-07-2010,
963,S6425083S,Illness,Allergy,27-04-1985,
968,S5403785R,Illness,Allergy,30-04-1982,
31,S7087806O,Illness,Asthma,16-07-1997,
52,S3654759E,Illness,Asthma,12-01-1980,
64,S3201012B,Illness,Asthma,15-08-2001,
104,S8447587X,Illness,Asthma,06-10-1989,
143,S6319783Z,Illness,Asthma,10-05-1987,
185,S4903829U,Illness,Asthma,15-08-1984,
186,S6631686D,Illness,Asthma,10-02-2014,
201,S5608895N,Illness,Asthma,29-11-1981,
313,S8435454O,Illness,Asthma,09-02-1985,
370,S6993281N,Illness,Asthma,10-06-2017,
392,S9425336C,Illness,Asthma,09-11-2014,
421,S1644707O,Illness,Asthma,17-05-2006,
432,S2784495R,Illness,Asthma,05-06-2005,
441,S2896436Q,Illness,Asthma,06-02-1989,
469,S5248889C,Illness,Asthma,09-06-2007,
501,S4212840P,Illness,Asthma,03-09-2000,
522,S7304116U,Illness,Asthma,29-01-2014,
525,S3682928P,Illness,Asthma,30-09-1999,
586,S4611311L,Illness,Asthma,28-05-2006,
597,S7616883V,Illness,Asthma,25-11-2003,
611,S4883176S,Illness,Asthma,31-07-1996,
643,S9487437M,Illness,Asthma,09-05-1999,
688,S8485883U,Illness,Asthma,10-09-2009,
693,S9474272Z,Illness,Asthma,11-11-1994,
703,S8218925C,Illness,Asthma,04-05-1996,
746,S7290784R,Illness,Asthma,21-09-1983,
758,S5085083P,Illness,Asthma,20-01-2004,
834,S4883176S,Illness,Asthma,05-02-1988,
836,S4464666C,Illness,Asthma,09-10-2013,
846,S6930105K,Illness,Asthma,01-01-2001,
851,S8716588D,Illness,Asthma,03-03-1987,
855,S5948196U,Illness,Asthma,25-06-2017,
856,S3171644V,Illness,Asthma,20-08-1985,
871,S9299242M,Illness,Asthma,25-05-2014,
872,S8327207N,Illness,Asthma,02-02-2001,
874,S4611311L,Illness,Asthma,21-06-1981,
886,S3773358A,Illness,Asthma,15-01-1982,
892,S1443657D,Illness,Asthma,04-08-2016,
896,S3500541Q,Illness,Asthma,29-09-2001,
898,S9662375M,Illness,Asthma,09-12-1988,
900,S3525306X,Illness,Asthma,05-08-2003,
950,S1556694G,Illness,Asthma,26-07-1992,
37,S8821204Q,Illness,Backpain,20-03-1992,
45,S6252443F,Illness,Backpain,01-10-2009,
53,S8131459M,Illness,Backpain,20-08-1984,
123,S4949643A,Illness,Backpain,10-05-2008,
140,S8395005M,Illness,Backpain,27-08-2012,
214,S4116801G,Illness,Backpain,03-06-2006,
228,S5144111L,Illness,Backpain,06-08-2008,
268,S4130238T,Illness,Backpain,22-12-1988,
316,S2789615A,Illness,Backpain,24-11-2009,
447,S8663634D,Illness,Backpain,07-04-1986,
493,S5724356N,Illness,Backpain,13-03-1990,
497,S5872730E,Illness,Backpain,18-07-2000,
541,S5872730E,Illness,Backpain,09-08-1993,
587,S5278313V,Illness,Backpain,30-01-2003,
605,S9368583H,Illness,Backpain,11-09-1982,
638,S4157752Y,Illness,Backpain,15-03-1997,
655,S2716385D,Illness,Backpain,08-01-2002,
679,S8923095F,Illness,Backpain,07-12-1980,
702,S5234275Y,Illness,Backpain,22-06-1987,
718,S4844032T,Illness,Backpain,20-10-2008,
736,S8087270C,Illness,Backpain,22-10-1987,
740,S8831513H,Illness,Backpain,17-09-2000,
754,S5365886C,Illness,Backpain,25-04-1998,
827,S6861104M,Illness,Backpain,26-07-2009,
857,S8242756J,Illness,Backpain,30-07-1983,
877,S3767857O,Illness,Backpain,23-09-2007,
888,S8663634D,Illness,Backpain,09-06-1984,
961,S1516037V,Illness,Backpain,08-10-1990,
989,S3888591G,Illness,Backpain,04-05-2007,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20,S2731758V,Illness,Bronchitis,29-01-2000,
44,S8249906R,Illness,Bronchitis,25-01-1980,
125,S1413734Q,Illness,Bronchitis,18-07-1995,
217,S4116179E,Illness,Bronchitis,01-09-1982,
239,S6610110O,Illness,Bronchitis,09-05-1981,
241,S6631686D,Illness,Bronchitis,05-03-1998,
324,S7352319X,Illness,Bronchitis,14-03-1982,
337,S4479630V,Illness,Bronchitis,01-06-1991,
352,S3118066P,Illness,Bronchitis,27-05-2016,
396,S7278276X,Illness,Bronchitis,05-05-2008,
405,S2300778O,Illness,Bronchitis,04-09-1981,
452,S7167431V,Illness,Bronchitis,16-10-1985,
546,S4995341V,Illness,Bronchitis,11-07-2004,
583,S6626104I,Illness,Bronchitis,13-12-1988,
615,S3750576F,Illness,Bronchitis,06-08-1987,
618,S8520697O,Illness,Bronchitis,19-03-1998,
646,S2462506B,Illness,Bronchitis,15-10-1981,
716,S7906874Y,Illness,Bronchitis,24-06-2008,
771,S2448840B,Illness,Bronchitis,31-12-1990,
845,S8926101S,Illness,Bronchitis,07-12-1994,
957,S4569307S,Illness,Bronchitis,19-05-2005,
996,S6626104I,Illness,Bronchitis,08-02-1990,
27,S1660863F,Illness,Cancer,24-02-1984,
80,S8729984J,Illness,Cancer,31-05-1989,
82,S7917587D,Illness,Cancer,16-04-2010,
189,S3218447F,Illness,Cancer,30-11-2005,
195,S3005533X,Illness,Cancer,15-07-1982,
278,S8106137Q,Illness,Cancer,23-06-1980,
284,S7599653J,Illness,Cancer,17-11-1988,
336,S1911722I,Illness,Cancer,06-09-2016,
360,S4553724F,Illness,Cancer,14-01-2003,
438,S3828072U,Illness,Cancer,25-09-1984,
481,S4333744P,Illness,Cancer,07-03-2004,
530,S4088765B,Illness,Cancer,18-10-2009,
540,S4684962U,Illness,Cancer,02-01-1984,
582,S1002874L,Illness,Cancer,27-09-1988,
584,S3176657I,Illness,Cancer,17-02-1992,
585,S8520697O,Illness,Cancer,05-04-2002,
625,S8046870W,Illness,Cancer,13-02-1985,
634,S4005763L,Illness,Cancer,30-06-1981,
664,S8413552R,Illness,Cancer,27-12-1999,
671,S4424024Y,Illness,Cancer,03-12-2016,
682,S8664016F,Illness,Cancer,02-11-2006,
687,S5727140L,Illness,Cancer,10-05-1986,
692,S9845041U,Illness,Cancer,14-12-2009,
730,S2291221N,Illness,Cancer,19-02-2015,
735,S7475339B,Illness,Cancer,17-09-2015,
817,S1717365B,Illness,Cancer,12-07-2004,
916,S7337461K,Illness,Cancer,22-02-2010,
919,S2964196S,Illness,Cancer,26-06-1995,
921,S5947580U,Illness,Cancer,21-09-2018,
929,S8146454Q,Illness,Cancer,14-10-2015,
997,S2784495R,Illness,Cancer,03-06-2002,
81,S5287620P,Illness,Caries,23-01-2010,
84,S5702021D,Illness,Caries,29-11-2011,
98,S1691197D,Illness,Caries,25-10-2005,
153,S1313437L,Illness,Caries,04-02-2002,
175,S7484962L,Illness,Caries,04-08-2003,
209,S3218447F,Illness,Caries,01-09-1980,
219,S2492414H,Illness,Caries,29-12-1996,
231,S5307762K,Illness,Caries,22-07-1980,
267,S7032633S,Illness,Caries,22-02-2015,
304,S9888517R,Illness,Caries,30-10-1995,
322,S6655947K,Illness,Caries,20-03-1981,
323,S5962491M,Illness,Caries,29-03-1993,
333,S2329053B,Illness,Caries,30-04-2002,
343,S3201012B,Illness,Caries,22-09-2014,
348,S2860299X,Illness,Caries,15-09-2017,
357,S2925972L,Illness,Caries,21-09-1990,
362,S7830855B,Illness,Caries,18-12-2005,
377,S5604488O,Illness,Caries,01-09-1997,
478,S3748968A,Illness,Caries,28-12-2008,
487,S2798820I,Illness,Caries,20-10-2008,
490,S3914156O,Illness,Caries,02-01-2006,
496,S3979521Q,Illness,Caries,09-10-2007,
545,S1088184S,Illness,Caries,19-01-1994,
608,S5922694D,Illness,Caries,20-03-1997,
642,S5040384I,Illness,Caries,25-10-1985,
650,S4881532P,Illness,Caries,18-03-2014,
656,S3171644V,Illness,Caries,18-03-1980,
677,S8923095F,Illness,Caries,15-10-1980,
698,S8739821O,Illness,Caries,28-02-1993,
701,S2045486J,Illness,Caries,19-02-1990,
705,S7831455Y,Illness,Caries,27-09-1986,
784,S6717881U,Illness,Caries,17-05-2005,
794,S5234275Y,Illness,Caries,19-04-1992,
802,S7587829D,Illness,Caries,28-04-2012,
852,S6655947K,Illness,Caries,11-12-2003,
880,S2934345Q,Illness,Caries,19-09-2000,
882,S8667408P,Illness,Caries,26-11-2008,
907,S9665353E,Illness,Caries,04-11-1991,
939,S1800068S,Illness,Caries,30-12-1985,
995,S3564022P,Illness,Caries,12-09-2006,
8,S8528067K,Illness,Cataracts,04-12-2014,
28,S3500541Q,Illness,Cataracts,18-10-2008,
87,S2223096T,Illness,Cataracts,14-01-1991,
279,S8716588D,Illness,Cataracts,18-04-2017,
283,S3016017R,Illness,Cataracts,10-11-2011,
335,S3564022P,Illness,Cataracts,16-11-2009,
443,S2771472D,Illness,Cataracts,26-10-1986,
453,S5982945W,Illness,Cataracts,18-02-1981,
461,S6291360D,Illness,Cataracts,14-02-1998,
467,S7892170K,Illness,Cataracts,01-01-1994,
474,S9697298B,Illness,Cataracts,08-01-1987,
499,S9350585J,Illness,Cataracts,13-02-1989,
527,S3116063A,Illness,Cataracts,11-01-1996,
577,S8115510U,Illness,Cataracts,20-02-1996,
595,S6039998E,Illness,Cataracts,23-01-2003,
598,S1877977C,Illness,Cataracts,19-11-2014,
631,S8847461D,Illness,Cataracts,11-12-1988,
665,S6099446D,Illness,Cataracts,20-06-2015,
668,S5234275Y,Illness,Cataracts,29-12-1995,
689,S3005533X,Illness,Cataracts,20-08-1997,
695,S1691197D,Illness,Cataracts,24-11-2003,
709,S9648573S,Illness,Cataracts,10-05-1998,
720,S2298913K,Illness,Cataracts,28-07-2015,
755,S5161810Q,Illness,Cataracts,04-01-1998,
804,S2269800B,Illness,Cataracts,05-10-2009,
807,S7380271J,Illness,Cataracts,16-11-2013,
821,S8435454O,Illness,Cataracts,18-06-2009,
853,S8468749O,Illness,Cataracts,03-04-2018,
884,S1368671D,Illness,Cataracts,10-12-1988,
894,S8468749O,Illness,Cataracts,05-11-1996,
922,S7680836K,Illness,Cataracts,12-01-1989,
924,S4953945W,Illness,Cataracts,07-02-2000,
971,S2853894X,Illness,Cataracts,08-09-2013,
998,S7831455Y,Illness,Cataracts,31-05-2008,
54,S8547853L,Illness,Chickenpox,04-08-1991,
133,S5346938A,Illness,Chickenpox,13-09-2008,
173,S8528067K,Illness,Chickenpox,06-04-1997,
181,S8882982F,Illness,Chickenpox,02-03-2002,
225,S2003956C,Illness,Chickenpox,08-04-2010,
230,S3564022P,Illness,Chickenpox,01-08-2018,
319,S4427301Q,Illness,Chickenpox,14-05-1997,
382,S6285959I,Illness,Chickenpox,17-11-1999,
384,S7484962L,Illness,Chickenpox,23-11-2016,
411,S8325585W,Illness,Chickenpox,27-02-2000,
424,S8115510U,Illness,Chickenpox,24-07-2010,
462,S8099534R,Illness,Chickenpox,20-12-1990,
502,S3550866N,Illness,Chickenpox,27-01-1998,
512,S2777811G,Illness,Chickenpox,19-11-1984,
569,S8185782X,Illness,Chickenpox,05-07-2011,
672,S4333744P,Illness,Chickenpox,15-03-2009,
683,S8873637T,Illness,Chickenpox,07-10-1980,
738,S4515397Y,Illness,Chickenpox,08-03-1996,
812,S3914156O,Illness,Chickenpox,19-08-1992,
891,S8520040W,Illness,Chickenpox,24-07-2004,
938,S2934345Q,Illness,Chickenpox,08-06-1987,
982,S1769429E,Illness,Chickenpox,30-12-2000,
992,S2206032T,Illness,Chickenpox,26-10-2006,
9,S4959927M,Illness,Cold,09-06-2004,
18,S3469880K,Illness,Cold,05-02-2000,
33,S7616883V,Illness,Cold,23-07-2005,
49,S3877006D,Illness,Cold,23-08-2003,
57,S1555162S,Illness,Cold,25-11-1982,
68,S4075788W,Illness,Cold,19-10-2011,
91,S7337461K,Illness,Cold,20-02-2012,
114,S5769421X,Illness,Cold,23-09-1982,
116,S2018627K,Illness,Cold,25-01-1995,
117,S3598756T,Illness,Cold,09-02-1987,
131,S8562926F,Illness,Cold,15-10-1987,
132,S2273322P,Illness,Cold,22-07-2004,
150,S1941236E,Illness,Cold,01-07-1995,
154,S3868334Y,Illness,Cold,03-12-1989,
156,S8441634F,Illness,Cold,04-09-2010,
157,S3143969X,Illness,Cold,02-08-1999,
159,S7278276X,Illness,Cold,10-06-2003,
160,S1368403S,Illness,Cold,27-06-1999,
161,S4812672V,Illness,Cold,10-04-1988,
164,S7118797W,Illness,Cold,06-09-2012,
167,S2405741U,Illness,Cold,03-09-2004,
176,S3023538V,Illness,Cold,29-02-1992,
187,S1867030F,Illness,Cold,03-03-2006,
198,S4491696I,Illness,Cold,02-01-2012,
205,S2789615A,Illness,Cold,11-09-2012,
210,S2191316U,Illness,Cold,06-04-1981,
215,S6318938W,Illness,Cold,02-05-2010,
221,S3819981F,Illness,Cold,23-04-1985,
222,S6099446D,Illness,Cold,30-04-2009,
240,S7032633S,Illness,Cold,20-01-1990,
243,S5428212L,Illness,Cold,03-08-1990,
251,S9038196W,Illness,Cold,06-02-1996,
256,S2002730C,Illness,Cold,07-09-2005,
259,S6640132A,Illness,Cold,27-01-2017,
264,S2329053B,Illness,Cold,05-05-2002,
273,S4116801G,Illness,Cold,20-06-2018,
286,S9039260E,Illness,Cold,08-09-2014,
289,S3171644V,Illness,Cold,23-11-2014,
292,S1066747F,Illness,Cold,14-06-2007,
295,S9820079Z,Illness,Cold,29-06-1996,
299,S8193768E,Illness,Cold,09-05-2010,
312,S7599653J,Illness,Cold,13-11-1981,
317,S2465331H,Illness,Cold,27-04-1999,
325,S3790300B,Illness,Cold,06-12-2006,
338,S8653215K,Illness,Cold,10-09-2008,
349,S4427301Q,Illness,Cold,01-11-1995,
354,S4972139A,Illness,Cold,30-10-1986,
355,S4980626L,Illness,Cold,13-12-2007,
366,S2492414H,Illness,Cold,27-09-2004,
400,S6154911V,Illness,Cold,06-08-1998,
404,S9069997H,Illness,Cold,30-12-2006,
454,S5383555T,Illness,Cold,30-11-2005,
471,S5823789B,Illness,Cold,08-05-2018,
475,S6824761N,Illness,Cold,03-03-2017,
494,S2401172K,Illness,Cold,30-11-1982,
520,S4274119I,Illness,Cold,23-09-1996,
537,S4252628Y,Illness,Cold,06-03-1994,
550,S7943742K,Illness,Cold,21-03-2016,
551,S8185782X,Illness,Cold,11-01-1982,
553,S4419365A,Illness,Cold,07-11-2003,
574,S7847480Q,Illness,Cold,05-11-1988,
580,S8754540Z,Illness,Cold,26-04-1997,
592,S3877006D,Illness,Cold,02-12-2016,
621,S3942473O,Illness,Cold,17-08-2005,
635,S3584724I,Illness,Cold,26-05-2005,
651,S3868334Y,Illness,Cold,22-06-1989,
654,S4140290O,Illness,Cold,25-11-1992,
666,S9084966W,Illness,Cold,10-02-2012,
690,S6553273X,Illness,Cold,12-12-2017,
700,S1011719M,Illness,Cold,25-05-2012,
713,S7624747K,Illness,Cold,20-06-2007,
715,S2332864N,Illness,Cold,26-11-2012,
719,S9068435Z,Illness,Cold,17-04-1991,
756,S6152413U,Illness,Cold,02-08-2005,
760,S8847461D,Illness,Cold,13-03-1981,
767,S3294588W,Illness,Cold,22-09-2013,
770,S9752291E,Illness,Cold,28-02-2015,
806,S2592861H,Illness,Cold,11-11-1984,
811,S1660863F,Illness,Cold,16-04-2014,
832,S8200946M,Illness,Cold,18-06-2001,
844,S1760554X,Illness,Cold,07-09-2015,
859,S4088765B,Illness,Cold,09-04-1990,
868,S7599653J,Illness,Cold,04-04-1997,
885,S3550866N,Illness,Cold,10-03-1996,
914,S6655356A,Illness,Cold,09-02-2016,
926,S1516037V,Illness,Cold,07-08-1997,
934,S1754041L,Illness,Cold,21-09-2014,
946,S2771472D,Illness,Cold,07-01-1983,
951,S5348287R,Illness,Cold,09-01-2008,
960,S8146454Q,Illness,Cold,30-12-2003,
966,S4758581M,Illness,Cold,03-09-2008,
972,S5644615J,Illness,Cold,23-05-1988,
984,S2164919C,Illness,Cold,13-02-1981,
985,S8876868K,Illness,Cold,04-12-2011,
14,S8590328I,Illness,Depression,24-10-1984,
19,S1113420L,Illness,Depression,01-06-1988,
46,S3819981F,Illness,Depression,27-12-1998,
67,S4759733S,Illness,Depression,21-09-1985,
77,S3679545Z,Illness,Depression,20-08-1984,
85,S6610110O,Illness,Depression,24-01-2007,
144,S9502710I,Illness,Depression,09-08-2005,
162,S8242428Q,Illness,Depression,27-06-1985,
166,S2839757V,Illness,Depression,18-07-2016,
213,S2814860T,Illness,Depression,16-08-1994,
236,S9778032F,Illness,Depression,28-03-2011,
254,S7357144K,Illness,Depression,13-02-1982,
281,S8098361L,Illness,Depression,28-07-2000,
345,S3153347T,Illness,Depression,21-08-2011,
394,S3005533X,Illness,Depression,10-12-1996,
423,S5702021D,Illness,Depression,09-04-2004,
431,S2853894X,Illness,Depression,15-12-1988,
434,S8435454O,Illness,Depression,11-11-1984,
442,S2555013J,Illness,Depression,22-09-1996,
459,S6824761N,Illness,Depression,27-11-1994,
466,S2329053B,Illness,Depression,06-04-1992,
504,S6276727U,Illness,Depression,11-01-2005,
507,S1941236E,Illness,Depression,27-12-1988,
509,S6997766X,Illness,Depression,05-08-2001,
620,S3176657I,Illness,Depression,01-10-1985,
641,S9752291E,Illness,Depression,17-01-2002,
680,S2191316U,Illness,Depression,29-12-2014,
681,S9708381S,Illness,Depression,16-11-2011,
711,S1769429E,Illness,Depression,17-04-2015,
732,S4122501T,Illness,Depression,25-02-1989,
748,S2332864N,Illness,Depression,23-03-1991,
782,S2862263A,Illness,Depression,22-06-1990,
786,S5352330R,Illness,Depression,29-08-2016,
866,S2555013J,Illness,Depression,01-11-2015,
903,S5114500C,Illness,Depression,25-03-1999,
904,S5872730E,Illness,Depression,30-07-2015,
913,S5144111L,Illness,Depression,24-06-2001,
925,S6757774E,Illness,Depression,28-06-1983,
973,S1027699D,Illness,Depression,21-06-2001,
980,S9488406S,Illness,Depression,13-08-2013,
7,S2766949Q,Illness,Diabetes,29-09-2003,
73,S7624747K,Illness,Diabetes,17-06-2000,
118,S1769429E,Illness,Diabetes,01-10-1995,
249,S4122473A,Illness,Diabetes,17-06-2007,
314,S6623076O,Illness,Diabetes,23-08-1983,
368,S3665292A,Illness,Diabetes,09-07-1992,
381,S7559015Q,Illness,Diabetes,16-05-1993,
389,S2770498A,Illness,Diabetes,03-07-2000,
391,S7599653J,Illness,Diabetes,04-11-1994,
429,S4122473A,Illness,Diabetes,07-02-1989,
450,S8957407Y,Illness,Diabetes,05-07-1987,
513,S6432032N,Illness,Diabetes,07-12-2006,
568,S3560315H,Illness,Diabetes,18-12-2010,
581,S4424024Y,Illness,Diabetes,09-08-1998,
630,S3773429W,Illness,Diabetes,07-02-2018,
726,S2469992Y,Illness,Diabetes,27-09-1990,
734,S7449357N,Illness,Diabetes,30-10-2017,
743,S9143579V,Illness,Diabetes,16-01-2002,
785,S6608600Z,Illness,Diabetes,18-04-1981,
796,S8729984J,Illness,Diabetes,07-11-1985,
797,S7516837T,Illness,Diabetes,11-11-2010,
798,S7289788B,Illness,Diabetes,24-12-1988,
858,S8855049J,Illness,Diabetes,06-11-1985,
863,S1543299A,Illness,Diabetes,08-12-2001,
876,S2356252O,Illness,Diabetes,20-11-1994,
935,S5133490Y,Illness,Diabetes,01-05-1993,
937,S8325585W,Illness,Diabetes,07-02-1998,
945,S8468749O,Illness,Diabetes,13-01-1995,
949,S8017571G,Illness,Diabetes,26-06-2001,
975,S8882982F,Illness,Diabetes,06-04-2000,
999,S4122501T,Illness,Diabetes,22-10-1991,
17,S3748968A,Illness,Eating Disorders,18-11-2016,
23,S5872730E,Illness,Eating Disorders,25-01-1998,
26,S6318938W,Illness,Eating Disorders,26-04-2008,
29,S9888909V,Illness,Eating Disorders,26-11-1994,
78,S6921484I,Illness,Eating Disorders,06-10-1991,
103,S9817190G,Illness,Eating Disorders,15-03-1994,
122,S3627112D,Illness,Eating Disorders,12-10-2011,
124,S9459775O,Illness,Eating Disorders,19-05-1994,
128,S3883837A,Illness,Eating Disorders,13-08-2009,
130,S4730137I,Illness,Eating Disorders,18-03-2012,
134,S8944124W,Illness,Eating Disorders,09-01-1991,
155,S4130238T,Illness,Eating Disorders,28-10-1985,
168,S8627355I,Illness,Eating Disorders,27-12-2001,
178,S9281472A,Illness,Eating Disorders,28-08-1983,
208,S6019912T,Illness,Eating Disorders,04-10-1980,
291,S6606778S,Illness,Eating Disorders,26-03-1992,
315,S6941030I,Illness,Eating Disorders,08-04-2001,
334,S3550761H,Illness,Eating Disorders,29-01-1992,
347,S6455578R,Illness,Eating Disorders,24-07-1986,
353,S8754905J,Illness,Eating Disorders,02-10-1999,
372,S8189832J,Illness,Eating Disorders,20-06-1980,
406,S9837045B,Illness,Eating Disorders,05-02-2006,
420,S4759733S,Illness,Eating Disorders,22-11-1995,
428,S9485236E,Illness,Eating Disorders,06-11-2005,
435,S2858412M,Illness,Eating Disorders,24-08-1991,
455,S5911026T,Illness,Eating Disorders,28-07-2015,
460,S2291221N,Illness,Eating Disorders,07-06-2008,
464,S6975096Q,Illness,Eating Disorders,01-11-1981,
498,S3655063L,Illness,Eating Disorders,22-04-1991,
533,S6128205K,Illness,Eating Disorders,06-10-1980,
570,S3487695C,Illness,Eating Disorders,08-05-1999,
619,S8185782X,Illness,Eating Disorders,15-11-2014,
624,S4995341V,Illness,Eating Disorders,13-04-1994,
639,S8754905J,Illness,Eating Disorders,06-06-2008,
660,S8591586J,Illness,Eating Disorders,20-05-1998,
757,S2255290C,Illness,Eating Disorders,21-02-2010,
762,S6442193E,Illness,Eating Disorders,06-12-1983,
768,S9780705O,Illness,Eating Disorders,13-03-2012,
791,S4157752Y,Illness,Eating Disorders,09-07-2017,
823,S3100678C,Illness,Eating Disorders,20-10-1994,
879,S3223873S,Illness,Eating Disorders,20-04-1997,
920,S3564022P,Illness,Eating Disorders,14-03-1989,
959,S3767857O,Illness,Eating Disorders,16-01-1986,
142,S2321201A,Illness,Gingivitis,16-05-1991,
171,S1137388U,Illness,Gingivitis,07-06-2011,
192,S2506551R,Illness,Gingivitis,20-06-1980,
204,S6093408T,Illness,Gingivitis,14-08-2004,
294,S6938957G,Illness,Gingivitis,24-08-2004,
330,S1320010F,Illness,Gingivitis,20-08-2004,
560,S5403785R,Illness,Gingivitis,24-01-2015,
673,S6785868O,Illness,Gingivitis,19-05-1981,
741,S1068623A,Illness,Gingivitis,05-05-1996,
799,S2524309O,Illness,Gingivitis,16-06-2018,
813,S4569307S,Illness,Gingivitis,08-04-2013,
814,S4980626L,Illness,Gingivitis,21-09-1986,
843,S3617193O,Illness,Gingivitis,03-10-2018,
923,S2913125R,Illness,Gingivitis,28-12-1982,
940,S4464666C,Illness,Gingivitis,20-01-1988,
944,S7670262F,Illness,Gingivitis,02-11-2012,
967,S8675839E,Illness,Gingivitis,16-12-2005,
977,S7794628I,Illness,Gingivitis,26-06-1988,
983,S3632347D,Illness,Gingivitis,29-04-2004,
5,S4821364J,Illness,Gout,10-08-1994,
148,S8923095F,Illness,Gout,25-04-1995,
224,S8847944E,Illness,Gout,15-08-2012,
234,S8146454Q,Illness,Gout,09-12-2009,
305,S8077513T,Illness,Gout,02-04-2001,
307,S6677034L,Illness,Gout,20-12-2014,
403,S7456583W,Illness,Gout,08-02-1998,
415,S1259497D,Illness,Gout,26-11-2013,
488,S1197784I,Illness,Gout,18-02-2005,
523,S8562926F,Illness,Gout,17-10-1989,
524,S7133907P,Illness,Gout,02-07-2012,
644,S2894462R,Illness,Gout,03-07-2009,
721,S4274119I,Illness,Gout,03-07-2016,
737,S4130238T,Illness,Gout,23-11-2012,
833,S9354638B,Illness,Gout,06-03-2008,
854,S7058003Z,Illness,Gout,17-05-1997,
910,S7256244R,Illness,Gout,06-05-1999,
976,S6655356A,Illness,Gout,21-12-2016,
979,S6997766X,Illness,Gout,09-09-1987,
1,S8667408P,Illness,Haemorrhoids,29-01-1995,
13,S4464666C,Illness,Haemorrhoids,23-05-2006,
94,S3522801O,Illness,Haemorrhoids,29-10-1983,
149,S2356252O,Illness,Haemorrhoids,30-05-1999,
179,S3536986X,Illness,Haemorrhoids,15-12-2007,
